pl_name,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,st_lum,hab
TOI-700d,1.19,1.25,5,269,0.163,0,3480,0.415,0.42,0.022,1
Kepler-186 e,1.27,2.15,5.77,319,0.11,0,3788,0.478,0.472,-1.385,1
Proxima Centauri b,1.1,1.27,5.5,234,0.0485,0,3042,0.12,0.14,-2.01,1
TRAPPIST-1 d,0.772,0.41,3.9,288,0.022,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 e,0.918,0.62,5.6,251,0.029,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 f,1.045,0.68,4,219,0.038,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 g,1.148,1.34,4.9,195,0.046,0,2559,0.089,0.121,-2.7,1
Kepler-186 f,1.17,1.4,5,188,0.356,0,3755,0.54,0.52,-1.3,1
Kepler-62 f,1.41,2.8,5.5,208,0.718,0,4925,0.69,0.64,-0.6,1
Kepler-452 b,1.63,5,5,265,1.05,0,5757,1.04,1.11,0.085,1
Kepler-69 c,1.71,5,5,299,0.64,0,5638,0.81,0.93,-0.1,1
TOI-700 d,1.19,1.7,5.5,269,0.163,0,3480,0.42,0.42,-1.64,1
Earth,1,1,5.5,288,1,0.0167,5778,1,1,1,1
Ross 128 b,1.1,1.35,5.5,294,0.049,0,3192,0.17,0.21,-2,1
Wolf 1061 c,1.6,4.3,5.5,223,0.084,0,3300,0.25,0.32,-1.8,1
Teegarden's Star b,1,1.05,5.5,270,0.025,0,3030,0.089,0.11,-2.6,1
Kepler-442 b,1.34,2.36,5.39,241,0.409,0.04,4402,0.609,0.598,-0.932,1
TOI-2095 c,1.33,7.4,,297,0.137,0,3759,0.44,0.44,-1.45892,1
TOI-700 e,0.953,0.818,5.19,272.9,0.134,0.059,3459,0.415,0.421,-1.64016,1
L 98-59 f,1.48,2.8,5,285,0.1052,0.044,3415,0.2923,0.3155,-1.91364,1
Kepler-438 b,1.12,1.46,5.71,288,0.166,0.03,3748,0.544,0.52,-1.357,1
LHS 1140 b,1.73,6.98,7.5,230,0.0936,0,3131,0.15,0.19,-2.3,1
Gliese 1061 c,1.3,1.74,5.5,274,0.035,0,2953,0.12,0.15,-2.3,1
Gliese 1061 d,1.4,1.68,5.5,230,0.054,0,2953,0.12,0.15,-2.3,1
GJ 357 d,1.9,6.1,5.5,219,0.204,0,3505,0.34,0.34,-1.6,1
kepler-442c,1.52,3.9,5.5,244,0.38,0,4380,0.61,0.59,-0.7,1
kepler-440b,1.86,5,5.5,273,0.24,0.1,4134,0.57,0.56,-1,1
kepler-296f,2.3,3.89,5.5,246,0.26,0,3740,0.5,0.48,-1.3,1
TOI-700d,1.19,1.25,5,269,0.163,0,3480,0.415,0.42,0.022,1
Kepler-186 e,1.27,2.15,5.77,319,0.11,0,3788,0.478,0.472,-1.385,1
Proxima Centauri b,1.1,1.27,5.5,234,0.0485,0,3042,0.12,0.14,-2.01,1
TRAPPIST-1 d,0.772,0.41,3.9,288,0.022,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 e,0.918,0.62,5.6,251,0.029,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 f,1.045,0.68,4,219,0.038,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 g,1.148,1.34,4.9,195,0.046,0,2559,0.089,0.121,-2.7,1
Kepler-186 f,1.17,1.4,5,188,0.356,0,3755,0.54,0.52,-1.3,1
Kepler-62 f,1.41,2.8,5.5,208,0.718,0,4925,0.69,0.64,-0.6,1
Kepler-452 b,1.63,5,5,265,1.05,0,5757,1.04,1.11,0.085,1
Kepler-69 c,1.71,5,5,299,0.64,0,5638,0.81,0.93,-0.1,1
TOI-700 d,1.19,1.7,5.5,269,0.163,0,3480,0.42,0.42,-1.64,1
Earth,1,1,5.5,288,1,0.0167,5778,1,1,1,1
Ross 128 b,1.1,1.35,5.5,294,0.049,0,3192,0.17,0.21,-2,1
Wolf 1061 c,1.6,4.3,5.5,223,0.084,0,3300,0.25,0.32,-1.8,1
Teegarden's Star b,1,1.05,5.5,270,0.025,0,3030,0.089,0.11,-2.6,1
Kepler-442 b,1.34,2.36,5.39,241,0.409,0.04,4402,0.609,0.598,-0.932,1
TOI-2095 c,1.33,7.4,,297,0.137,0,3759,0.44,0.44,-1.45892,1
TOI-700 e,0.953,0.818,5.19,272.9,0.134,0.059,3459,0.415,0.421,-1.64016,1
L 98-59 f,1.48,2.8,5,285,0.1052,0.044,3415,0.2923,0.3155,-1.91364,1
Kepler-438 b,1.12,1.46,5.71,288,0.166,0.03,3748,0.544,0.52,-1.357,1
LHS 1140 b,1.73,6.98,7.5,230,0.0936,0,3131,0.15,0.19,-2.3,1
Gliese 1061 c,1.3,1.74,5.5,274,0.035,0,2953,0.12,0.15,-2.3,1
Gliese 1061 d,1.4,1.68,5.5,230,0.054,0,2953,0.12,0.15,-2.3,1
GJ 357 d,1.9,6.1,5.5,219,0.204,0,3505,0.34,0.34,-1.6,1
kepler-442c,1.52,3.9,5.5,244,0.38,0,4380,0.61,0.59,-0.7,1
kepler-440b,1.86,5,5.5,273,0.24,0.1,4134,0.57,0.56,-1,1
kepler-296f,2.3,3.89,5.5,246,0.26,0,3740,0.5,0.48,-1.3,1
TOI-700d,1.19,1.25,5,269,0.163,0,3480,0.415,0.42,0.022,1
Kepler-186 e,1.27,2.15,5.77,319,0.11,0,3788,0.478,0.472,-1.385,1
Proxima Centauri b,1.1,1.27,5.5,234,0.0485,0,3042,0.12,0.14,-2.01,1
TRAPPIST-1 d,0.772,0.41,3.9,288,0.022,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 e,0.918,0.62,5.6,251,0.029,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 f,1.045,0.68,4,219,0.038,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 g,1.148,1.34,4.9,195,0.046,0,2559,0.089,0.121,-2.7,1
Kepler-186 f,1.17,1.4,5,188,0.356,0,3755,0.54,0.52,-1.3,1
Kepler-62 f,1.41,2.8,5.5,208,0.718,0,4925,0.69,0.64,-0.6,1
Kepler-452 b,1.63,5,5,265,1.05,0,5757,1.04,1.11,0.085,1
Kepler-69 c,1.71,5,5,299,0.64,0,5638,0.81,0.93,-0.1,1
TOI-700 d,1.19,1.7,5.5,269,0.163,0,3480,0.42,0.42,-1.64,1
Earth,1,1,5.5,288,1,0.0167,5778,1,1,1,1
Ross 128 b,1.1,1.35,5.5,294,0.049,0,3192,0.17,0.21,-2,1
Wolf 1061 c,1.6,4.3,5.5,223,0.084,0,3300,0.25,0.32,-1.8,1
Teegarden's Star b,1,1.05,5.5,270,0.025,0,3030,0.089,0.11,-2.6,1
Kepler-442 b,1.34,2.36,5.39,241,0.409,0.04,4402,0.609,0.598,-0.932,1
TOI-2095 c,1.33,7.4,,297,0.137,0,3759,0.44,0.44,-1.45892,1
TOI-700 e,0.953,0.818,5.19,272.9,0.134,0.059,3459,0.415,0.421,-1.64016,1
L 98-59 f,1.48,2.8,5,285,0.1052,0.044,3415,0.2923,0.3155,-1.91364,1
Kepler-438 b,1.12,1.46,5.71,288,0.166,0.03,3748,0.544,0.52,-1.357,1
LHS 1140 b,1.73,6.98,7.5,230,0.0936,0,3131,0.15,0.19,-2.3,1
Gliese 1061 c,1.3,1.74,5.5,274,0.035,0,2953,0.12,0.15,-2.3,1
Gliese 1061 d,1.4,1.68,5.5,230,0.054,0,2953,0.12,0.15,-2.3,1
GJ 357 d,1.9,6.1,5.5,219,0.204,0,3505,0.34,0.34,-1.6,1
kepler-442c,1.52,3.9,5.5,244,0.38,0,4380,0.61,0.59,-0.7,1
kepler-440b,1.86,5,5.5,273,0.24,0.1,4134,0.57,0.56,-1,1
kepler-296f,2.3,3.89,5.5,246,0.26,0,3740,0.5,0.48,-1.3,1
TOI-700d,1.19,1.25,5,269,0.163,0,3480,0.415,0.42,0.022,1
Kepler-186 e,1.27,2.15,5.77,319,0.11,0,3788,0.478,0.472,-1.385,1
Proxima Centauri b,1.1,1.27,5.5,234,0.0485,0,3042,0.12,0.14,-2.01,1
TRAPPIST-1 d,0.772,0.41,3.9,288,0.022,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 e,0.918,0.62,5.6,251,0.029,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 f,1.045,0.68,4,219,0.038,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 g,1.148,1.34,4.9,195,0.046,0,2559,0.089,0.121,-2.7,1
Kepler-186 f,1.17,1.4,5,188,0.356,0,3755,0.54,0.52,-1.3,1
Kepler-62 f,1.41,2.8,5.5,208,0.718,0,4925,0.69,0.64,-0.6,1
Kepler-452 b,1.63,5,5,265,1.05,0,5757,1.04,1.11,0.085,1
Kepler-69 c,1.71,5,5,299,0.64,0,5638,0.81,0.93,-0.1,1
TOI-700 d,1.19,1.7,5.5,269,0.163,0,3480,0.42,0.42,-1.64,1
Earth,1,1,5.5,288,1,0.0167,5778,1,1,1,1
Ross 128 b,1.1,1.35,5.5,294,0.049,0,3192,0.17,0.21,-2,1
Wolf 1061 c,1.6,4.3,5.5,223,0.084,0,3300,0.25,0.32,-1.8,1
Teegarden's Star b,1,1.05,5.5,270,0.025,0,3030,0.089,0.11,-2.6,1
Kepler-442 b,1.34,2.36,5.39,241,0.409,0.04,4402,0.609,0.598,-0.932,1
TOI-2095 c,1.33,7.4,,297,0.137,0,3759,0.44,0.44,-1.45892,1
TOI-700 e,0.953,0.818,5.19,272.9,0.134,0.059,3459,0.415,0.421,-1.64016,1
L 98-59 f,1.48,2.8,5,285,0.1052,0.044,3415,0.2923,0.3155,-1.91364,1
Kepler-438 b,1.12,1.46,5.71,288,0.166,0.03,3748,0.544,0.52,-1.357,1
LHS 1140 b,1.73,6.98,7.5,230,0.0936,0,3131,0.15,0.19,-2.3,1
Gliese 1061 c,1.3,1.74,5.5,274,0.035,0,2953,0.12,0.15,-2.3,1
Gliese 1061 d,1.4,1.68,5.5,230,0.054,0,2953,0.12,0.15,-2.3,1
GJ 357 d,1.9,6.1,5.5,219,0.204,0,3505,0.34,0.34,-1.6,1
kepler-442c,1.52,3.9,5.5,244,0.38,0,4380,0.61,0.59,-0.7,1
kepler-440b,1.86,5,5.5,273,0.24,0.1,4134,0.57,0.56,-1,1
kepler-296f,2.3,3.89,5.5,246,0.26,0,3740,0.5,0.48,-1.3,1
Kepler-334 d,1.41,2.57,5.04,656,0.168,0,5828,1.022,1.068,0.05556,0
Kepler-251 d,2.77,8.1,2.09,536,0.182,0,5526,0.891,0.89,-0.17197,0
Kepler-729 b,3.58,12.5,1.5,1273,0.0432,0,5633,0.94,0.91,0.26135,0
Kepler-687 b,3.52,12.2,1.54,518,0.1326,0,4841,0.77,0.73,-0.56669,0
Kepler-119 b,3.6,12.6,1.48,1213,0.035,0,5595,0.918,0.839,-0.0366,0
Kepler-1115 b,1.7,3.53,3.95,1381,0.2134,0,8480,1.6,1.73,1.25385,0
Kepler-1073 b,2.3,5.9,2.66,905,0.0805,0,5792,1,1,-0.01023,0
HD 16175 b,12.8,1875.187601,4.91,,2.12,0.6,5981,1.63,1.72,0.50786,0
Kepler-405 b,2.08,4.98,3.04,785,0.095,0,5818,0.873,0.893,-0.33143,0
KIC 10001893 c,,,,,,,27500,0.47,0.18,1.43069,0
Kepler-899 b,2.68,7.65,2.18,640,0.1392,0,5595,0.93,0.91,0.04831,0
Kepler-1255 b,2.32,5.99,2.64,694,0.2226,0,6018,1.08,1.12,0.30726,0
K2-55 b,3.82,14,1.38,912,0.03486,0.07,4456,0.696,0.63,-0.78432,0
Kepler-1447 b,2.9,8.75,1.97,522,0.2836,0,5722,0.97,0.95,-0.04217,0
K2-108 b,5.33,59.4,2.22,1360,0.0581,0.18,5599,1.17,1.76,0.40539,0
TOI-220 b,3.03,13.8,2.73,805,0.08911,0.032,5298,0.825,0.858,-0.26668,0
HD 23472 d,0.75,0.55,7.5,909,0.04298,0.07,4684,0.67,0.71,-0.62525,0
HD 215497 c,13,111.2399425,0.278,,1.31,0.47,5113,0.92,0.85,-0.41,0
TOI-5726.01,2.554,7.05,2.33,1093.03,0.062186,,5874,1.06,1.106,0.11832,0
GJ 338 B b,3.25,10.6,1.7,391,0.142,0.109,4014,0.64,0.58,-1.10127,0
TOI-2285 b,1.77,19.5,,358,0.1363,0.3,3491,0.454,0.464,-1.54212,0
Kepler-659 b,2.5,6.8,2.39,513,0.1204,0,4870,0.79,0.74,-0.52596,0
TOI-411 c,2.328,9.72,3.15,931,0.1017,0.16,6169,1.098,1.117,0.20919,0
Kepler-1118 b,2.74,7.95,2.12,502,0.2079,0,5688,0.96,0.97,-0.06047,0
Kepler-133 c,2.84,8.45,2.03,663,0.204,0,5736,1.02,1.425,0.4105,0
Kepler-620 b,3.32,11,1.65,849,0.1053,0,6155,1.15,1.22,0.34079,0
Kepler-92 b,3.51,64.3,2.098071,975,0.12232,0.17,5883,1.21,1.7,0.55818,0
HAT-P-51 b,13.50682174,97.57332095,0.218,1168.2,0.05042,0.07,5453,0.961,0.995,-0.10237,0
Kepler-179 b,1.64,3.33,4.15,1075,0.036,0,5302,0.893,0.759,-0.27765,0
Kepler-166 b,2.27,5.77,2.71,772,0.072,0,5413,0.811,0.742,-0.38508,0
Kepler-595 c,1.009,3.3,6.9,679,0.0983,0,5138.5,0.93,0.821,-0.34768,0
Kepler-28 c,1.857,2.06,1.764357,509,0.07519,0.017,4499.3,0.684,0.664,-0.74494,0
Kepler-210 b,2.94,8.96,1.94,737,0.032,0,4559,0.77,0.65,-0.79874,0
Kepler-782 b,3.21,10.4,1.73,350,0.54494,0,5867,0.98,1.01,0.10995,0
Kepler-414 c,3.01,29.9,6.02,890,0.07195,0,5536,0.89,0.946,-0.16917,0
Kepler-238 f,2,13.5,1.7,568,0.28635,0,5800,1.06,0.96,0.43048,0
Kepler-664 b,2.66,7.56,2.21,1406,0.0374,0,5754,1.01,1.02,-0.11113,0
Kepler-1123 b,1.67,3.43,4.05,1061,0.0497,0,5500,0.93,0.9,-0.29455,0
Kepler-1098 b,1.3,2.24,5.6,1319,0.0358,0,5794,0.99,0.99,0.15655,0
HAT-P-49 b,17.82231,699.226,0.75,2131,0.04378,0,6820,2.22,2.06,0.814,0
XO-4 b,14.01125,451.3186,0.83,1630,0.05524,0,6397,1.1,1.45,0.53558,0
Kepler-1084 b,1.11,1.41,5.67,1737,0.0324,0,6113,1.12,1.28,0.25259,0
Kepler-520 b,1.66,3.39,4.07,711,0.14628,0,6112,1.1,1.09,0.51032,0
nu Oph b,12,7057.73298,22.4,,1.765,0.126,4887,2.61,12.24,1.89476,0
Kepler-1895 b,2.11934728,5.14,2.97,789,0.0615,0,5076,0.86,0.763,-0.22959,0
HD 171238 b,12.5,2796.889982,7.87,,2.57,0.234,5440,0.96,1.01,-0.09,0
Kepler-1669 b,2.78043818,8.15,2.08,530,0.0745,0,4303,0.67,0.714145,-0.80265,0
Kepler-339 d,1.17,14.7,50.4,796,0.091,0,5631,0.87,0.802,-0.31322,0
Kepler-351 d,2.72,7.85,2.14,318,0.5177,0,5225,0.81,0.78,-0.38644,0
HAT-P-29 b,13.11453,279.6904,0.79,1271,0.0667,0.09,6087,1.45,1.3,0.2722,0
WASP-12 b,22.02564708,467.2101,0.266,2601,0.0234,0.0447,6265,1.325,1.69,0.59711,0
WASP-54 b,17.71022,187.5197,0.167,1759,0.04988,0.07,6100,1.08,1.76,0.57477,0
WASP-88 b,16.36514,133.4886,0.141,1772,0.06431,0,6430,0.94,1.8,0.72351,0
WASP-100 b,14.90797,400.4658,0.53,2190,0.04574,0,6900,0.77,1.57,0.76571,0
WASP-26 b,13.56289,270.1555,0.703,1650,0.04,0,6034,0.86,1.22,0.28725,0
WASP-6 b,11.54527,117.5971,0.326,1184,0.04217,0.05,5450,0.55,0.73,-0.29675,0
WASP-47 c,,447,,247,1.393,0.264,5565,1.058,1.156,0.03167,0
Kepler-1373 b,1.16,1.65,5.81,1887,0.02598,0,6299,1.22,1.33,0.77358,0
Kepler-1104 b,1.23,2.04,6.02,1321,0.06321,0,6417,1.3,1.41,0.51439,0
HD 240210 b,12.8,1655.82,4.34,,1.16,0.15,4297,0.82,25.456816,1.55,0
CoRoT-5 b,15.558,148.42,0.217,1438,0.04947,0.09,6100,1,1.186,0.18,0
TrES-3 b,14.975,607.03,0.994,1638,0.02282,0,5650,0.928,0.829,-0.20412,0
Kepler-51 d,9.7,7.6,0.046,381,0.509,0.008,6018,1.04,0.94,-0.1417,0
HD 207832 c,14,232.0159,0.465,,2.112,0.27,5710,0.94,0.901,-0.112,0
HAT-P-39 b,17.609,190.372,0.19,1752,0.0509,0,6430,1.404,1.625,0.607,0
Kepler-18 c,5.49,17.3,0.59,899,0.0752,0,5345,0.972,1.108,-0.031,0
KMT-2023-BLG-2209L b,13.9,254.2627256,0.52,,3.51,,,0.73,,,0
Kepler-452 b,1.63,3.29,4.17,265,1.046,0,5757,1.037,1.11,0.08448,0
MOA-2008-BLG-310L b,5.18,23.4,0.925,,1.1,,,0.21,,,0
GJ 3998 b,1.39,2.5,5.12,,0.03,0,3726,0.52,0.5,-1.358,0
WASP-46 b,13.159366,607.0553,1.467,1636,0.02335,0,5600,0.828,0.858,-0.11113,0
WASP-79 b,17.14974047,270.154146,0.13,1716.2,0.0519,0,6600,1.39,1.51,0.66447,0
Kepler-46 c,13.5,119.499,0.267,455,0.2799,0.0146,5155,0.902,0.938,-0.255,0
Kepler-1499 b,1.19,1.81,5.9,409,0.23225,0,5097,0.82,0.78,-0.46443,0
OGLE-TR-111 b,11.421971,174.799,0.65,1019,0.0473,0,5040,0.82,0.83,-0.33862,0
HAT-P-13 b,14.258,270.462,0.362,1740,0.04383,0.0133,5653,1.32,1.756,0.346,0
HAT-P-13 c,12.3,4538.421,13.4,340,1.258,0.6616,5653,1.32,1.756,0.346,0
MOA-2009-BLG-387L b,13.2,830,1.98,,1.8,,,0.19,,,0
Kepler-18 b,2,6.9,4.9,1165,0.0447,0,5345,0.972,1.108,-0.031,0
Kepler-18 d,6.98,16.4,0.27,720,0.1172,0,5345,0.972,1.108,-0.031,0
Kepler-33 c,3.2,0.39,0.13,1009,0.1189,0,5904,1.291,1.82,0.556,0
Kepler-32 c,2,158.9,0.33,451,0.09,0,3900,0.58,0.53,-1.29243,0
Kepler-166 d,1.73,3.64,3.86,1313,0.02449,0,5350,0.88,0.83,-0.38508,0
Kepler-844 b,1.68,3.46,4.01,713,0.0298,0,4128,0.59,0.57,-0.92083,0
Kepler-327 b,1.11,1.41,5.67,682,0.029,0,3799,0.591913,0.492,-1.25964,0
Kepler-33 b,1.74,3.68,3.84,1336,0.0677,0,5904,1.291,1.82,0.556,0
Kepler-1455 b,2.16,5.31,2.9,298,0.2149,0,4075,0.62,0.6,-1.14066,0
Kepler-353 b,0.89,0.64,4.99,534,0.051,0,3903,0.553,0.504,-1.18709,0
HIP 41378 d,3.96,14.9,1.32,,,0,6226,1.168,1.343,0.39646,0
WASP-62 b,14.79588,165.2716,0.262,1475.3,0.0571,0,6230,1.11,1.23,0.3456,0
TRAPPIST-1 b,1.116,1.374,5.441939,397.6,0.01154,0.00622,2566,0.0898,0.1192,-3.25727,0
WASP-136 b,15.46842,479.9233,0.773,1742,0.0661,0,6260,1.41,2.21,0.82265,0
HD 109749 b,11.1,85.8141,0.345,,0.0615,0,5824,1.13,1.22,0.19,0
HD 149143 b,13.6,422.7139,0.923,,0.053,0.0167,5856,1.2,1.44,0.35,0
HD 231701 b,13.7,359.1479,0.768,,0.567,0.13,6101,1.21,1.53,0.47,0
TOI-1683.01,2.6382,7.45,2.23,929.25,0.036507593,,4402,0.694661,0.7,-0.78662,0
Kepler-213 b,1.62,3.26,4.21,1326,0.036,0,5696,1.07,1.195,0.082,0
V830 Tau b,14,222.481,0.446,,0.057,0,4250,1,2,0.08,0
Kepler-52 b,2.1,135,3.35,553,0.0637,0,4075,0.54,0.52,-0.99568,0
Kepler-166 c,2.38,6.26,2.55,468,0.195,0,5413,0.811,0.742,-0.38508,0
GJ 1214 b,2.733,8.41,2.26,567,0.01505,0.0062,3101,0.182,0.2162,-2.40894,0
HAT-P-26 b,7.06167,22.2481,0.4,1001,0.0479,0.12,5079,1.12,0.87,-0.35928,0
GJ 3634 b,2.83,8.4,2.04,,0.0287,0.08,3517,0.45,0.43,-1.699,0
HAT-P-4 b,14.28,213.255,0.403,1686,0.04438,0,5860,1.248,1.596,0.431,0
OGLE-TR-132 b,13.45,375.02,0.85,2013,0.03035,0.6,6210,1.305,1.32,0.371,0
OGLE-TR-56 b,15.278,441.77,0.68,2212,0.02383,0,6050,1.228,1.363,0.35,0
Kepler-55 b,2.43,43,16.5,400,0.1593,0,4362,0.62,0.58,-0.76324,0
HAT-P-18 b,11.153,62.61,0.25,852,0.0559,0.084,4803,0.77,0.749,-0.569,0
Kepler-46 b,9.057,1907,14,543,0.1968,0.01,5155,0.902,0.938,-0.255,0
WTS-1 b,16.7,1274.44,1.61,1500,0.047,0.1,6250,1.2,1.15,0.08842,0
HD 37605 b,13.2,854.9627,2.04,,0.277,0.6745,5329,0.94,0.91,-0.22,0
HIP 14810 b,13,1239.537,3.1,,0.0696,0.14399,5544,1.01,1.07,-0.01,0
HIP 14810 c,13.6,416.3573,0.91,,0.549,0.1566,5544,1.01,1.07,-0.01,0
HD 17674 b,13.9,276.5121,0.566,,1.42,0.13,5904,0.98,1.18,0.20472,0
HD 20329 b,1.72,7.42,8.06,2141,0.018,0,5596,0.9,1.13,0.04922,0
HD 135344 A b,16.25302201,3178.28407,4.07,1585,16.5,0.5,9540,2.32,1.5,1.22,0
WASP-5 b,12.184,502.15,1.64,1706,0.0267,0.038,5700,0.96,1.029,0.06717,0
OGLE-2015-BLG-0051L b,14,230,0.461,,0.73,,,0.1,,,0
HAT-P-28 b,13.585,198.953,0.44,1384,0.0434,0.051,5680,1.025,1.103,0.053,0
47 UMa b,13.2,804.08,1.92,,2.1,0.032,5872,1.06,1.21334,0.1978,0
47 UMa c,14.2,171.621,0.329,,3.6,0.098,5872,1.06,1.21334,0.1978,0
BD-08 2823 c,12.5,104,0.293,,0.68,0.19,4746,0.74,0.71,-0.62597,0
HD 40307 b,1.83,4,3.59,910,0.0468,0.2,4956,0.77,0.716684,-0.639,0
HD 40307 f,2.13,5.2,2.96,398,0.247,0.02,4956,0.77,0.716684,-0.639,0
WASP-59 b,8.687,274.276,2.4,670,0.0697,0.1,4650,0.719,0.613,-0.79407,0
HD 190984 b,13,1137.825697,2.85,,5.5,0.57,5988,0.91,1.53,0.43,0
HIP 14810 d,14.1,187.5197,0.368,,1.94,0.185,5544,1.01,1.07,-0.01,0
HD 207832 b,14.2,177.9848,0.342,,0.586,0.197,5726,1.05,0.89,-0.11,0
HD 1605 b,13.8,296.85322,0.621,,1.492,0.095,4915,1.33,3.49,0.81,0
USco1556 b,12.3,4767.45,14.1,2240,3500,,3410,0.33,0.668108,-1.09,0
Kepler-283 b,2.13,5.18,2.95,488,0.082,0,4351,0.596,0.566,-0.98297,0
HD 33142 b,13.7,400.4637928,0.856,,1.074,0.049,5025.4,1.52,4.17,1.00043,0
CoRoT-6 b,13.068,940.74,2.32,1017,0.0855,0.1,6090,1.05,1.025,0.02573,0
GQ Lup b,33.6,6356,0.921,2650,100,,4360,0.7,1.94153,-0.07239,0
HD 110014 b,12.4,3524.59,10.2,,2.14,0.462,4445,2.17,20.9,2.30408,0
HD 103774 b,13.3,116,0.271,,0.07,0.09,6489,1.335,1.581047,0.544,0
HD 109271 b,4.31,17.162,1.18,,0.079,0.25,5783,1.047,1.294595,0.301,0
HD 10647 b,13.8,298.75,0.625,,2.015,0.15,6218,1.11,1.1,0.149,0
HD 1605 c,13,1150.5446,2.88,,3.584,0.099,4915,1.33,3.49,0.81,0
HD 148164 b,13.7,390.9309,0.835,,0.993,0.587,6032,1.21,1.34,0.33,0
HD 211810 b,14,212.9461,0.426,,2.656,0.68,5652,1.03,1.13,0.07,0
Kepler-356 c,1.81,3.93,3.64,913,0.115,0,6133,1.163,1.335,0.46128,0
KOI-1833 d,2.58,11.02,4.5,613,0.0634,0,4413,0.681,0.667,-0.7626,0
NY Vir b,13.3,730.978,1.71,,3.3,0.15,32780,0.459,0.151,1.37508,0
KMT-2024-BLG-1044L b,2.7,7.75,2.16,,,,,0.069,,,0
HIP 5158 b,13.6,451,0.985,,0.89,0.52,4962,0.78,0.75,-0.95861,0
HD 134987 c,13.9,260,0.532,,5.8,0.12,5585,1.1,1.25,0.25527,0
KMT-2022-BLG-1790L b,13.5,549.8431441,1.23,,5.25,,,0.58,,,0
WASP-64 b,14.247,403.945,0.823,1689,0.02648,0,5400,1.004,1.058,-0.022,0
PH1 b,6.18,169,,481,0.652,0.0702,6407,1.528,1.734,0.66,0
Kepler-297 b,2.87,48.5,11.3,509,0.217,0,5619,0.927,0.915,-0.09608,0
Kepler-160 d,,100,,,0.17,,5471,1.003,1.118,0.00432,0
HD 191939 c,3.195,8,1.35,600,0.1752,0.034,5348,0.81,0.94,-0.18709,0
PSR B1257+12 b,0.338,0.02,2.85,,0.19,0,,1.4,,,0
PSR B1257+12 d,1.8,3.9,3.67,,0.46,0.0264,,1.4,,,0
Kepler-1178 b,1.07,1.24,5.56,378,0.1596,0,4990,0.8,0.75,-0.27723,0
Kepler-805 b,2.89,8.7,1.98,743,0.19852,0,6112,1.19,1.65,0.5408,0
Kepler-158 d,0.43,0.0472,3.26,,,,4895.97,0.656,0.668,-0.75667,0
K2-368 d,1.948,4.45,3.31,,,,4663,0.746,0.663,-0.69293,0
HD 148156 b,13.9,270.144,0.553,,2.45,0.52,6308,1.22,1.21,0.25042,0
HD 156411 b,14,235.18,0.471,,1.88,0.22,5900,1.25,2.16,0.731,0
HD 8535 b,14,216.1244,0.433,,2.45,0.15,6136,1.13,1.19,0.33266,0
Kepler-267 b,1.98,37.9,26.8,615,0.037,0,4258,0.541571,0.555,-1.22915,0
XO-7 b,15.389957,225.34147,0.34,1743,0.04421,0.038,6250,1.405,1.48,0.43132,0
TRAPPIST-1 h,0.755,0.326,4.16278,171.7,0.06189,0.00567,2566,0.0898,0.1192,-3.25727,0
Kepler-834 b,2.02,4.74,3.16,378,0.0862,0,4554,0.7,0.66,-0.7453,0
Kepler-303 b,0.89,0.64,4.99,802,0.024,0,3944,0.575,0.485,-1.0655,0
Kepler-125 b,2.37,6.21,2.56,590,0.041,0,3810,0.542101,0.512,-1.3279,0
GJ 674 b,3.33,11.09,1.65,,0.039,0.2,3600,0.35,0.36463,-1.796,0
HD 69830 d,4.45,18.1,1.13,,0.63,0.07,5385,0.86,0.886947,-0.22,0
HD 93083 b,13.4,117.59,0.269,,0.477,0.14,4995,0.7,0.850835,-0.38722,0
K2-61 b,2.48,6.71,2.42,,0.0392,,6293,1.21,1.36,-0.01524,0
ZTF J1828+2308 b,11.13051784,6356.56814,25.3,,,,15900,0.61,0.0131,-2,0
GJ 887 c,2.67,7.6,2.19,352,0.12,,3688,0.489,0.4712,-1.43415,0
CoRoT-17 b,11.43,772.29,2.82,1626,0.0461,0,5740,1.04,1.59,0.13421,0
HD 132563 b,13.6,473.547,1.03,,2.62,0.22,6289,1.231,1.29577,0.37408,0
Kepler-14 b,12.733,2669.66,7.1,1605,0.0771,0.035,6395,1.512,2.048,0.799,0
UZ For c,,2447.2,,,2.8,0.05,5286.9,0.7,,,0
WASP-1 b,16.623,271.415,0.348,1812,0.03889,0,6110,1.24,1.47,0.44091,0
ROXs 42 B b,12.5,2860,8.05,1975,157,0.58,3433,1,1.33658,-0.79156,0
HD 221287 b,13.1,982.05,2.4,,1.25,0.08,6304,1.25,1.13864,0.22011,0
