pl_name,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,st_lum,hab
Kepler-337 b,1.54,2.99,4.5,1458,0.045,0,5684,1.081,1.761,0.48057,0
Kepler-301 d,1.75,3.71,3.8,725,0.112,0,5815,1.022,0.9,-0.07963,0
Kepler-528 b,2.08,4.98,3.04,708,0.14219,0,5807,1.01,1.06,0.15784,0
Kepler-187 b,1.41,2.57,5.04,1244,0.059,0,6105,1.081,1.287,0.49267,0
Kepler-224 c,3.12,9.91,1.79,758,0.058,0,5018,0.777,0.676,-0.51445,0
Kepler-220 e,1.33,2.33,5.44,341,0.226,0,4632,0.729,0.666,-0.67594,0
Kepler-149 b,4.21,16.5,1.22,540,0.184,0,5381,1.013,0.953,-0.11929,0
Kepler-362 b,0.88,0.615,4.96,838,0.087,0,5788,0.904,0.722,0.20872,0
Kepler-365 c,1.64,3.33,4.15,729,0.137,0,6012,1.02,1.048,0.112,0
Kepler-194 c,2.59,7.22,2.28,815,0.131,0,6089,0.94,1.025,0.0427,0
Kepler-106 e,2.56,11.17,3.1,531,0.24006,0,5858,1,1.04,0.08255,0
Kepler-372 b,1.36,2.42,5.29,1081,0.075,0,6509,1.202,1.137,0.32073,0
Kepler-152 b,2.79,8.2,2.07,551,0.124,0,5088,0.779,0.724,-0.46488,0
Kepler-243 b,2.45,6.57,2.45,850,0.062,0,5228,0.904,0.842,-0.37337,0
Kepler-228 d,4.04,15.4,1.28,835,0.101,0,6043,1.006,1.014,0.11115,0
Kepler-378 c,0.7,0.271,4.34,414,0.166,0,4661,0.78,0.671,-0.65539,0
Kepler-198 b,2.82,8.35,2.05,655,0.131,0,5574,0.995,0.94,-0.1089,0
Kepler-207 d,3.31,11,1.67,1254,0.068,0,5920,1.313,1.588,0.5343,0
Kepler-118 c,7.68,45.7,0.554,564,0.141,0,5274,0.811,1.094,-0.37737,0
Kepler-406 b,1.43,6.35,11.82,1302,0.03599,0,5538,1.07,1.07,0.0482,0
Kepler-97 b,1.48,3.51,5.44,1328,0.03563,0,5779,0.94,0.98,-0.02505,0
Kepler-146 b,3.71,13.3,1.43,639,0.2,0,5948,1.079,1.208,0.14794,0
Kepler-244 b,2.76,8.05,2.1,1038,0.05,0,5554,0.933,0.803,-0.25619,0
Kepler-208 b,1.63,3.29,4.17,1379,0.054,0,6092,1.082,1.314,0.30912,0
Kepler-181 c,1.99,4.62,3.22,937,0.049,0,5333,0.81,0.749,-0.37878,0
Kepler-228 c,2.7,7.75,2.16,1160,0.052,0,6043,1.006,1.014,0.11115,0
Kepler-406 c,0.85,2.71,24.39,1050,0.05531,0,5538,1.07,1.07,0.0482,0
TOI-178 b,1.152,1.5,5.4,1040,0.02607,,4316,0.65,0.651,-0.87943,0
Kepler-147 c,2.43,6.48,2.48,689,0.216,0,6012,1.145,1.468,0.42733,0
Kepler-144 b,1.33,2.33,5.44,1253,0.066,0,6075,1.154,1.235,0.28203,0
Kepler-182 c,3.43,11.6,1.58,729,0.157,0,6250,1.114,1.146,0.34366,0
Kepler-197 c,1.23,5.3,15.7,930,0.09,0.08,6004,0.857,1.12,0.22187,0
MOA-2011-BLG-322L b,12.4,3690,10.6,,4.3,,,0.39,,,0
Kepler-156 b,2.3,5.9,2.66,867,0.054,0,5094,0.864,0.807,-0.43985,0
Kepler-700 b,5.99,30,0.767,452,0.3577,0,5692,0.98,0.96,0.22961,0
Kepler-150 c,3.69,13.2,1.44,876,0.073,0,5560,0.956,0.939,-0.16141,0
Kepler-248 c,4.07,15.6,1.27,598,0.123,0,5190,0.838,0.831,-0.41834,0
Kepler-1962 b,1.21463929,1.95,5.98,901,0.0783,0,5700,1.003,1.006,-0.12198,0
Kepler-146 c,3.13,9.96,1.78,473,0.364,0,5948,1.079,1.208,0.14794,0
Kepler-853 b,1.69,3.5,3.98,1187,0.079,0,6350,1.3,1.55,0.51032,0
Kepler-274 b,1.54,2.99,4.5,961,0.101,0,6023,0.883,1.007,0.2013,0
Kepler-174 b,1.96,4.5,3.28,553,0.1,0,4880,0.602,0.622,-0.5704,0
Kepler-1562 b,3.55,12.3,1.51,554,0.3308,0,5760,1.02,1.05,0.49073,0
Kepler-150 d,2.79,8.2,2.07,734,0.104,0,5560,0.956,0.939,-0.16141,0
CoRoT-22 b,4.88,12.2,0.249,885,0.092,0.077,5939,1.099,1.136,0.01352,0
WASP-104 b,12.745,404.263,1.074,1516,0.02918,0,5475,1.076,0.963,-0.18964,0
CoRoT-24 c,5,28,1.3,850,0.098,0,4950,0.91,0.86,-0.60148,0
Kepler-663 b,2.6,7.27,2.27,917,0.0559,0,5264,0.86,0.82,-0.31305,0
KOI-1257 b,10.54,460.83,2.1,511,0.382,0.772,5520,0.99,1.13,0.0292,0
XO-2 S c,13.6,435.409,0.951,,0.4756,0.1528,5399,0.982,1.02,-0.12302,0
Kepler-188 c,3.19,10.3,1.74,1025,0.066,0,6021,1.021,1.141,0.03447,0
Kepler-196 c,2.24,5.65,2.76,407,0.24,0,5128,0.839,0.782,-0.39257,0
Kepler-247 d,3.94,14.7,1.32,530,0.14,0,5100,0.887,0.768,-0.42165,0
Kepler-135 c,1.16,1.65,5.81,975,0.103,0,6090,1.047,1.275,0.44809,0
Kepler-1028 b,1.33,2.33,5.44,1217,0.0354,0,5522,0.9,0.87,-0.24485,0
Kepler-169 e,2.2,5.48,2.83,595,0.105,0,4997,0.825,0.763,-0.49611,0
Kepler-557 b,2.67,7.61,2.2,1281,0.0469,0,6068,1.11,1.16,0.72814,0
Kepler-214 c,2.13,5.18,2.95,619,0.194,0,6169,1.11,1.352,0.5108,0
Kepler-149 c,1.61,3.22,4.24,436,0.281,0,5381,1.013,0.953,-0.11929,0
Kepler-154 e,1.5,2.86,4.66,1140,0.04766,0,5769,0.98,0.98,0.03322,0
Kepler-340 b,2.53,6.94,2.35,1092,0.134,0,6620,1.65,1.85,0.86749,0
Kepler-882 b,1.23,2.04,6.02,903,0.04741,0,5476,0.9,0.87,-0.27313,0
